S. No,Producto,Código,Garantía,Especificações Técnicas
1,DESBROZADORA GASOLINA,BBC26DA,12 Meses,"

Motor : Gasolina, 2 Tiempos, 25,4CC
Potencia Máxima: 1,0 Cv
Mezcla De Combustible: 40:1 Si Es Aceite Sintético Y 25:1 Si Es Aceite Mineral
Capacidad Del Depósito: 0,7 Litros
Carburador: Diafragma
Escape Reforzado
Tipo De Arranque: Manual Retráctil
Diámetro Del Tubo: 26 mm
Manillar D"
2,DESBROZADORA GASOLINA,BBC33DA,12 Meses,"

Motor : Gasolina, 2 Tiempos, 33,0CC
Potencia Máxima: 1,3 Cv
Mezcla De Combustible: 40:1 Si Es Aceite Sintético Y 25:1 Si Es Aceite Mineral
Capacidad Del Depósito: 0,7 Litros
Carburador: Diafragma
Escape Reforzado
Tipo De Arranque: Manual Retráctil
Diámetro Del Tubo: 26 mm
Manillar D"
3,DESBROZADORA GASOLINA,BBC43A,12 Meses,"

Motor : Gasolina, 2 Tiempos, 42,7Cc
Potencia Máxima: 1,7 Cv
Mezcla De Combustible: 40:1 Si Es Aceite Sintético Y 25:1 Si Es Aceite Mineral
Capacidad Del Depósito: 0,8 Litros
Carburador: Diafragma
Escape Reforzado
Tipo De Arranque: Manual Retráctil
Diámetro Del Tubo: 26 Mm
Manillar Ergonómico Dividido"
4,DESBROZADORA GASOLINA,BBC52A,12 Meses,"

Motor : Gasolina, 2 Tiempos, 51,6Cc
Potencia Máxima: 2,0 Cv
Mezcla De Combustible: 40:1 Si Es Aceite Sintético Y 25:1 Si Es Aceite Mineral
Capacidad Del Depósito: 0,8 Litros
Carburador: Diafragma
Escape Reforzado
Tipo De Arranque: Manual Retráctil
Diámetro Del Tubo: 26 Mm
Manillar Ergonómico Dividido"
5,DESBROZADORA MULTI FUNCCION GASOLINA,BBC26MTA,12 Meses,"

Motor : Gasolina, 2 Tiempos, 26Cc
Potencia Máxima: 1,0 CV
Mezcla De Combustible: 40:1 Si Es Aceite Sintético Y 25:1 Si Es Aceite Mineral
Capacidad Del Depósito: 0,7 Litros
Carburador: Diafragma
Escape Reforzado
Tipo De Arranque: Manual Retráctil
Diámetro Del Tubo: 26 Mm
Manillar Ergonómico en D"
6,DESBROZADORA ELÉCTRICA,BBCE1000DA-1,12 Meses,"

Motor : Eléctrico 220V, 60Hz
Potencia Máxima: 1,0 kW
Manillar lop D
Tubo em acero, bipartido"
7,DESBROZADORA ELÉCTRICA,BBCE1000DA-2,12 Meses,"

Motor : Eléctrico 220V, 60Hz
Potencia Máxima: 1,4 kW
Manillar loop D
Tubo em acero, bipartido"
8,"MOTOSIERRA /
SERRA DE CADENA GASOLINA",BCS25A-10SN,12 Meses,"

Motor : Gasolina, 2 tiempos, 25CC
Potencia Máxima: 1.0CV
Barra guía : 10"" 
Cadena: 3/8"" x .050""
Capacidad tanque combustible :  ml
Capacidad tanque de aceite :  ml
Máxima revolución :  por minuto
Mezcla De Combustible: 40:1 Si Es Aceite Sintético Y 25:1 Si Es Aceite Mineral
"
9,"MOTOSIERRA /
SERRA DE CADENA GASOLINA",BCS42A-16SN,12 Meses,"

Motor : Gasolina, 2 tiempos, 42CC
Potencia Máxima: 2.1CV
Barra guía : 16"" 
Cadena: 3/8"" x .050""
Capacidad tanque combustible : 300 ml
Capacidad tanque de aceite : 210 ml
Máxima revolución : 13000 por minuto
Mezcla De Combustible: 40:1 Si Es Aceite Sintético Y 25:1 Si Es Aceite Mineral
"
10,"MOTOSIERRA /
SERRA DE CADENA GASOLINA",BCS53A-18SN,12 Meses,"

Motor : Gasolina, 2 tiempos, 50,8CC
Potencia Máxima: 2,8CV
Barra guía : 18"" 
Cadena: .325""Capacidad tanque combustible : 550 ml
Capacidad tanque de aceite : 260 ml
Máxima revolución : 12500 por minuto
Mezcla De Combustible: 40:1 Si Es Aceite Sintético Y 25:1 Si Es Aceite Mineral
"
11,"MOTOSIERRA /
SERRA DE CADENA GASOLINA",BCS58A-20SN,12 Meses,"

Motor : Gasolina, 2 tiempos, 54CC
Potencia Máxima: 3,2CV
Barra guía : 18"" 
Cadena: .325"" 
Capacidad tanque combustible : 550 ml
Capacidad tanque de aceite : 260 ml
Máxima revolución : 12500 por minuto
Mezcla De Combustible: 40:1 Si Es Aceite Sintético Y 25:1 Si Es Aceite Mineral
"
12,"MOTOSIERRA /
SERRA DE CADENA ELÉCTRICA",BCSE1500A-16SN-1,12 Meses,"

Motor: Eléctrico, 110V, 50/60Hz
Potencia Máxima: 1500W
Barra guia: 16""
Capacidad tanque de aceite: 120 ml
Máxima velocidad de cadena: 15m/s"
13,"MOTOSIERRA /
SERRA DE CADENA ELÉCTRICA",BCSE1500A-16SN-2,12 Meses,"

Motor: Eléctrico, 220V, 50/60Hz
Potencia Máxima: 1500W
Barra guia: 16""
Capacidad tanque de aceite: 120 ml
Máxima velocidad de cadena: 13.5m/s"
14,"MOTOSIERRA /
SERRA DE CADENA ELÉCTRICA",BCSE1800A-18SN-1,12 Meses,"

Motor: Eléctrico, 110V, 50/60Hz
Potencia Máxima: 2000W
Barra guia: 18""
Capacidad tanque de aceite: 120 ml
Máxima velocidad de cadena: 13.5m/s"
